Format Version,1.23,Take Name,Calibsmartstonex 2023-04-17 11.37.41 AM_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-04-17 11.38.40.797 AM,Capture Start Frame,2604639,Total Frames in Take,9521,Total Exported Frames,9521,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
25,0.069444,-0.845529,-9.264379,-0.292451,0.068550,1.916133,0.231505,0.151901,1.925546,0.245814,0.054030,1.924702,0.315323,0.081909,1.931923,0.148036,-0.015741,1.928274,0.217250,0.070012,1.970778,0.231105,0.001979,0.327991,-0.110295,0.066509,1.716871,0.132627,0.069253,1.742846,0.132349,0.066450,1.633026,0.134203,0.066525,1.716909,0.132647,0.070253,1.664536,0.106215,0.069383,1.742647,0.132281,0.066488,1.633073,0.134201,0.066350,1.716965,0.132702,0.070259,1.664631,0.106228,0.150222,1.925375,0.245389,0.054236,1.924908,0.314228,0.081902,1.932086,0.149298,-0.013990,1.928232,0.217727,0.069851,1.970598,0.231016
26,0.072222,-0.849201,-9.255426,-0.309080,0.068539,1.916127,0.231495,0.151896,1.925516,0.245791,0.054035,1.924701,0.315315,0.081890,1.931912,0.148023,-0.015750,1.928292,0.217253,0.070018,1.970771,0.231094,-0.009429,0.338239,-0.106489,0.066517,1.716886,0.132624,0.069259,1.742861,0.132341,0.066463,1.633041,0.134217,0.066532,1.716924,0.132644,0.070259,1.664546,0.106222,0.069371,1.742676,0.132296,0.066498,1.633082,0.134218,0.066382,1.716987,0.132673,0.070262,1.664628,0.106237,0.150337,1.925369,0.245384,0.054241,1.924910,0.314234,0.081896,1.932074,0.149298,-0.013988,1.928229,0.217719,0.069849,1.970594,0.231013
27,0.075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.077778,-0.853738,-9.261956,-0.306121,0.068551,1.916126,0.231500,0.151905,1.925521,0.245804,0.054036,1.924707,0.315317,0.081910,1.931905,0.148028,-0.015738,1.928286,0.217246,0.070026,1.970771,0.231093,-0.013961,0.344955,-0.104824,0.066526,1.716877,0.132625,0.069267,1.742852,0.132339,0.066475,1.633032,0.134224,0.066542,1.716915,0.132645,0.070267,1.664535,0.106226,0.069373,1.742651,0.132287,0.066509,1.633077,0.134214,0.066399,1.716991,0.132679,0.070269,1.664616,0.106255,0.150342,1.925377,0.245396,0.054241,1.924915,0.314224,0.081918,1.932065,0.149304,-0.013994,1.928234,0.217719,0.069856,1.970589,0.231010
29,0.080556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.086111,-0.848245,-9.274331,-0.293943,0.068546,1.916130,0.231517,0.151895,1.925542,0.245839,0.054011,1.924703,0.315331,0.081920,1.931917,0.148049,-0.015742,1.928273,0.217246,0.070010,1.970775,0.231114,-0.015695,0.326566,-0.120190,0.066521,1.716884,0.132614,0.069269,1.742858,0.132328,0.066447,1.633039,0.134215,0.066537,1.716922,0.132634,0.070257,1.664540,0.106218,0.069378,1.742671,0.132281,0.066481,1.633074,0.134214,0.066391,1.716990,0.132662,0.070259,1.664625,0.106237,0.150258,1.925390,0.245446,0.054227,1.924907,0.314228,0.081909,1.932074,0.149288,-0.013993,1.928229,0.217721,0.069851,1.970593,0.231024
32,0.088889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,-0.850569,-9.267740,-0.288061,0.068560,1.916127,0.231511,0.151910,1.925548,0.245823,0.054035,1.924703,0.315327,0.081923,1.931910,0.148041,-0.015730,1.928260,0.217250,0.070019,1.970772,0.231105,-0.005403,0.306419,-0.114290,0.066516,1.716879,0.132627,0.069262,1.742853,0.132347,0.066450,1.633034,0.134214,0.066532,1.716917,0.132647,0.070266,1.664540,0.106223,0.069377,1.742662,0.132295,0.066486,1.633072,0.134212,0.066377,1.716986,0.132683,0.070270,1.664624,0.106242,0.150225,1.925372,0.245400,0.054243,1.924908,0.314233,0.081919,1.932073,0.149302,-0.013993,1.928227,0.217728,0.069852,1.970590,0.231013
35,0.097222,-0.856376,-9.274991,-0.295570,0.068554,1.916132,0.231523,0.151904,1.925544,0.245845,0.054019,1.924717,0.315336,0.081930,1.931907,0.148053,-0.015733,1.928275,0.217250,0.070020,1.970777,0.231113,-0.007957,0.311788,-0.108727,0.066502,1.716885,0.132627,0.069246,1.742859,0.132345,0.066445,1.633039,0.134217,0.066518,1.716923,0.132647,0.070255,1.664546,0.106225,0.069350,1.742680,0.132300,0.066477,1.633069,0.134225,0.066377,1.716991,0.132679,0.070260,1.664629,0.106229,0.150257,1.925386,0.245452,0.054233,1.924919,0.314237,0.081922,1.932072,0.149303,-0.013988,1.928233,0.217732,0.069861,1.970593,0.231013
36,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.102778,-0.845710,-9.268620,-0.286714,0.068560,1.916130,0.231517,0.151910,1.925552,0.245831,0.054034,1.924699,0.315333,0.081924,1.931920,0.148048,-0.015730,1.928263,0.217256,0.070017,1.970775,0.231116,-0.003292,0.331426,-0.113050,0.066515,1.716879,0.132634,0.069260,1.742854,0.132354,0.066452,1.633034,0.134218,0.066531,1.716918,0.132654,0.070255,1.664542,0.106227,0.069367,1.742674,0.132306,0.066484,1.633070,0.134225,0.066388,1.716973,0.132687,0.070260,1.664631,0.106234,0.150260,1.925390,0.245443,0.054253,1.924899,0.314228,0.081921,1.932082,0.149296,-0.014003,1.928234,0.217735,0.069848,1.970591,0.231013
38,0.105556,-0.846533,-9.266384,-0.289380,0.068551,1.916138,0.231505,0.151901,1.925556,0.245816,0.054027,1.924708,0.315321,0.081912,1.931927,0.148035,-0.015740,1.928274,0.217247,0.070010,1.970783,0.231103,-0.016715,0.281997,-0.120108,0.066511,1.716887,0.132621,0.069259,1.742861,0.132337,0.066436,1.633042,0.134224,0.066527,1.716925,0.132641,0.070267,1.664542,0.106229,0.069354,1.742671,0.132283,0.066464,1.633074,0.134229,0.066400,1.716988,0.132679,0.070271,1.664636,0.106241,0.150214,1.925388,0.245404,0.054238,1.924914,0.314225,0.081902,1.932092,0.149289,-0.013989,1.928238,0.217726,0.069850,1.970596,0.231009
39,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.111111,-0.846457,-9.270701,-0.283428,0.068554,1.916134,0.231508,0.151902,1.925561,0.245825,0.054023,1.924704,0.315323,0.081919,1.931923,0.148039,-0.015737,1.928261,0.217243,0.070008,1.970779,0.231105,-0.019567,0.312013,-0.112307,0.066506,1.716883,0.132630,0.069251,1.742858,0.132343,0.066443,1.633038,0.134238,0.066522,1.716921,0.132650,0.070255,1.664538,0.106239,0.069354,1.742665,0.132288,0.066475,1.633082,0.134232,0.066383,1.716988,0.132691,0.070259,1.664620,0.106258,0.150210,1.925382,0.245400,0.054235,1.924908,0.314228,0.081918,1.932086,0.149304,-0.013987,1.928233,0.217723,0.069836,1.970596,0.231012
41,0.113889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.119444,-0.849767,-9.264430,-0.305824,0.068546,1.916131,0.231507,0.151900,1.925526,0.245815,0.054028,1.924707,0.315324,0.081909,1.931916,0.148037,-0.015741,1.928291,0.217251,0.070021,1.970776,0.231104,-0.006658,0.330537,-0.106939,0.066502,1.716885,0.132644,0.069245,1.742860,0.132362,0.066448,1.633039,0.134232,0.066518,1.716923,0.132664,0.070248,1.664546,0.106240,0.069346,1.742674,0.132320,0.066479,1.633068,0.134240,0.066382,1.716997,0.132691,0.070252,1.664630,0.106247,0.150338,1.925381,0.245414,0.054232,1.924914,0.314233,0.081916,1.932080,0.149298,-0.013989,1.928229,0.217737,0.069857,1.970597,0.231015
44,0.122222,-0.850637,-9.275852,-0.287375,0.068547,1.916133,0.231525,0.151895,1.925555,0.245849,0.054010,1.924709,0.315338,0.081922,1.931916,0.148056,-0.015741,1.928265,0.217252,0.070005,1.970778,0.231119,-0.024538,0.322567,-0.108405,0.066494,1.716896,0.132635,0.069237,1.742870,0.132346,0.066437,1.633051,0.134250,0.066510,1.716934,0.132656,0.070242,1.664549,0.106248,0.069340,1.742683,0.132300,0.066469,1.633084,0.134250,0.066372,1.717004,0.132683,0.070245,1.664634,0.106265,0.150247,1.925387,0.245465,0.054236,1.924912,0.314230,0.081916,1.932078,0.149308,-0.013989,1.928225,0.217730,0.069836,1.970601,0.231019
45,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.127778,-0.849458,-9.270604,-0.284457,0.068553,1.916132,0.231516,0.151902,1.925558,0.245832,0.054023,1.924707,0.315331,0.081919,1.931917,0.148046,-0.015738,1.928260,0.217251,0.070008,1.970777,0.231110,-0.006768,0.297187,-0.103070,0.066479,1.716887,0.132644,0.069220,1.742862,0.132364,0.066430,1.633042,0.134233,0.066495,1.716926,0.132664,0.070244,1.664549,0.106242,0.069324,1.742665,0.132318,0.066462,1.633074,0.134235,0.066355,1.717004,0.132691,0.070247,1.664637,0.106259,0.150214,1.925385,0.245413,0.054232,1.924910,0.314244,0.081911,1.932076,0.149285,-0.013989,1.928226,0.217728,0.069844,1.970598,0.231021
47,0.130556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
