Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:00:57.033,2023-04-26 17:00:56.8,233,1,15+0+56.8
2023-04-26 17:00:57.269,2023-04-26 17:00:57.0,269,1,15+0+57.0
2023-04-26 17:00:57.533,2023-04-26 17:00:57.0,533,1,15+0+57.0
2023-04-26 17:00:57.533,2023-04-26 17:00:57.0,533,1,15+0+57.0
2023-04-26 17:00:57.702,2023-04-26 17:00:57.4,302,1,15+0+57.4
2023-04-26 17:00:57.938,2023-04-26 17:00:57.6,338,1,15+0+57.6
2023-04-26 17:00:58.105,2023-04-26 17:00:57.8,305,1,15+0+57.8
2023-04-26 17:00:58.241,2023-04-26 17:00:58.0,241,1,15+0+58.0
2023-04-26 17:00:58.384,2023-04-26 17:00:58.0,384,1,15+0+58.0
2023-04-26 17:00:58.411,2023-04-26 17:00:58.0,411,1,15+0+58.0
2023-04-26 17:00:58.511,2023-04-26 17:00:58.2,311,1,15+0+58.2
2023-04-26 17:00:58.673,2023-04-26 17:00:58.4,273,1,15+0+58.4
2023-04-26 17:00:58.913,2023-04-26 17:00:58.6,313,1,15+0+58.6
2023-04-26 17:00:59.04,2023-04-26 17:00:58.8,240,1,15+0+58.8
2023-04-26 17:00:59.305,2023-04-26 17:00:59.0,305,1,15+0+59.0
2023-04-26 17:00:59.305,2023-04-26 17:00:59.0,305,1,15+0+59.0
2023-04-26 17:00:59.305,2023-04-26 17:00:59.0,305,1,15+0+59.0
2023-04-26 17:00:59.703,2023-04-26 17:00:59.2,503,1,15+0+59.2
2023-04-26 17:00:59.703,2023-04-26 17:00:59.4,303,1,15+0+59.4
2023-04-26 17:00:59.837,2023-04-26 17:00:59.6,237,1,15+0+59.6
2023-04-26 17:01:00.112,2023-04-26 17:00:59.8,312,1,15+0+59.8
2023-04-26 17:01:00.239,2023-04-26 17:01:00.0,239,1,15+1+0.0
2023-04-26 17:01:00.27,2023-04-26 17:01:00.0,270,1,15+1+0.0
