Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-04-27 09:17:41.839,46.0657051,11.096988,312.09,350.83,358.91,null
SMAR,2023-04-27 09:17:41.871,46.0657051,11.096988,312.14,350.91,358.81,null
SMAR,2023-04-27 09:17:41.904,46.0657051,11.096988,312.08,350.87,358.95,null
STON,2023-04-27 09:17:41.904,46.065726789,11.096974856166666,-1.329057,278.233215,0.056238,1
SMAR,2023-04-27 09:17:41.937,46.0657051,11.096988,311.94,350.67,359.23,null
SMAR,2023-04-27 09:17:41.97,46.0657051,11.096988,311.08,350.59,359.4,null
SMAR,2023-04-27 09:17:42.004,46.0657051,11.096988,310.25,350.62,359.51,null
SMAR,2023-04-27 09:17:42.038,46.0657051,11.096988,310.55,350.32,359.72,null
SMAR,2023-04-27 09:17:42.072,46.0657051,11.096988,311.02,350.07,359.94,null
STON,2023-04-27 09:17:42.072,46.065726789,11.096974856166666,-1.32979,278.22168,0.056637,1
SMAR,2023-04-27 09:17:42.124,46.0657051,11.096988,310.93,350.08,359.97,null
SMAR,2023-04-27 09:17:42.139,46.0657051,11.096988,310.81,350.04,359.97,null
SMAR,2023-04-27 09:17:42.185,46.0657051,11.096988,310.89,349.92,359.99,null
SMAR,2023-04-27 09:17:42.205,46.0657051,11.096988,310.94,349.86,0.06,null
SMAR,2023-04-27 09:17:42.236,46.0657051,11.096988,311.0,349.81,0.18,null
SMAR,2023-04-27 09:17:42.275,46.0657017,11.09699,311.2,349.78,0.28,null
SMAR,2023-04-27 09:17:42.303,46.0657017,11.09699,311.44,349.78,0.35,null
STON,2023-04-27 09:17:42.303,46.065726789,11.096974856166666,-1.333183,278.206818,0.053742,1
SMAR,2023-04-27 09:17:42.34,46.0657017,11.09699,311.68,349.72,0.44,null
SMAR,2023-04-27 09:17:42.369,46.0657017,11.09699,311.9,349.67,0.48,null
SMAR,2023-04-27 09:17:42.404,46.0657017,11.09699,312.04,349.56,0.57,null
STON,2023-04-27 09:17:42.404,46.06572679883333,11.096974869666667,-1.333183,278.206818,0.053742,1
STON,2023-04-27 09:17:42.404,46.06572679883333,11.096974869666667,-1.333183,278.206818,0.053742,1
SMAR,2023-04-27 09:17:42.434,46.0657017,11.09699,312.2,349.48,0.63,null
SMAR,2023-04-27 09:17:42.47,46.0657017,11.09699,312.4,349.42,0.65,null
SMAR,2023-04-27 09:17:42.5,46.0657017,11.09699,312.46,349.45,0.62,null
SMAR,2023-04-27 09:17:42.535,46.0657017,11.09699,312.54,349.48,0.59,null
SMAR,2023-04-27 09:17:42.567,46.0657017,11.09699,312.68,349.43,0.62,null
SMAR,2023-04-27 09:17:42.604,46.0657017,11.09699,312.78,349.38,0.63,null
SMAR,2023-04-27 09:17:42.636,46.0657017,11.09699,312.84,349.26,0.7,null
SMAR,2023-04-27 09:17:42.673,46.0657017,11.09699,312.88,349.16,0.76,null
SMAR,2023-04-27 09:17:42.701,46.0657017,11.09699,312.87,349.16,0.78,null
STON,2023-04-27 09:17:42.701,46.06572679883333,11.096974869666667,-1.334671,278.222664,0.056244,1
SMAR,2023-04-27 09:17:42.733,46.0657017,11.09699,312.82,349.18,0.82,null
SMAR,2023-04-27 09:17:42.767,46.0657017,11.09699,312.74,349.21,0.84,null
SMAR,2023-04-27 09:17:42.801,46.0657017,11.09699,312.6,349.31,0.81,null
SMAR,2023-04-27 09:17:42.833,46.0657017,11.09699,312.5,349.43,0.81,null
SMAR,2023-04-27 09:17:42.871,46.0657017,11.09699,312.39,349.54,0.86,null
SMAR,2023-04-27 09:17:42.904,46.0657017,11.09699,312.2,349.58,0.95,null
STON,2023-04-27 09:17:42.904,46.06572679883333,11.096974869666667,-1.337343,278.189041,0.058155,1
SMAR,2023-04-27 09:17:42.936,46.0657017,11.09699,311.97,349.59,1.05,null
SMAR,2023-04-27 09:17:42.963,46.0657017,11.09699,311.81,349.6,1.16,null
SMAR,2023-04-27 09:17:42.997,46.0657017,11.09699,311.73,349.64,1.28,null
SMAR,2023-04-27 09:17:43.03,46.0657017,11.09699,311.59,349.74,1.3,null
SMAR,2023-04-27 09:17:43.072,46.0657017,11.09699,311.41,349.9,1.24,null
STON,2023-04-27 09:17:43.072,46.06572679883333,11.096974869666667,-1.340139,278.206635,0.060335,1
SMAR,2023-04-27 09:17:43.101,46.0657017,11.09699,311.29,350.08,1.17,null
SMAR,2023-04-27 09:17:43.134,46.0657017,11.09699,311.3,350.25,1.16,null
SMAR,2023-04-27 09:17:43.163,46.0657017,11.09699,311.3,350.32,1.23,null
SMAR,2023-04-27 09:17:43.198,46.0657017,11.09699,311.16,350.37,1.28,null
SMAR,2023-04-27 09:17:43.233,46.0657017,11.09699,310.98,350.44,1.25,null
SMAR,2023-04-27 09:17:43.273,46.0657017,11.09699,310.86,350.51,1.2,null
SMAR,2023-04-27 09:17:43.3,46.0656987,11.0969919,310.86,350.51,1.26,null
STON,2023-04-27 09:17:43.3,46.06572679883333,11.096974869666667,-1.339721,278.207649,0.056745,1
SMAR,2023-04-27 09:17:43.341,46.0656987,11.0969919,311.03,350.44,1.38,null
SMAR,2023-04-27 09:17:43.371,46.0656987,11.0969919,311.17,350.45,1.37,null
SMAR,2023-04-27 09:17:43.4,46.0656987,11.0969919,311.26,350.41,1.33,null
STON,2023-04-27 09:17:43.4,46.065726805666664,11.0969748775,-1.339721,278.207649,0.056745,1
STON,2023-04-27 09:17:43.4,46.065726805666664,11.0969748775,-1.339721,278.207649,0.056745,1
SMAR,2023-04-27 09:17:43.442,46.0656987,11.0969919,311.21,350.54,1.13,null
SMAR,2023-04-27 09:17:43.469,46.0656987,11.0969919,311.04,350.71,0.87,null
STON,2023-04-27 09:17:43.469,46.065726805666664,11.0969748775,-1.337892,278.232712,0.057069,1
SMAR,2023-04-27 09:17:43.507,46.0656987,11.0969919,310.98,350.9,0.63,null
SMAR,2023-04-27 09:17:43.536,46.0656987,11.0969919,311.02,351.02,0.52,null
SMAR,2023-04-27 09:17:43.564,46.0656987,11.0969919,311.06,351.12,0.39,null
SMAR,2023-04-27 09:17:43.608,46.0656987,11.0969919,311.12,351.2,0.22,null
SMAR,2023-04-27 09:17:43.641,46.0656987,11.0969919,311.2,351.17,0.18,null
SMAR,2023-04-27 09:17:43.675,46.0656987,11.0969919,311.29,351.12,0.15,null
STON,2023-04-27 09:17:43.675,46.065726805666664,11.0969748775,-1.341568,278.259911,0.058853,1
SMAR,2023-04-27 09:17:43.709,46.0656987,11.0969919,311.37,351.12,0.1,null
SMAR,2023-04-27 09:17:43.742,46.0656987,11.0969919,311.41,351.05,0.14,null
SMAR,2023-04-27 09:17:43.776,46.0656987,11.0969919,311.39,350.97,0.18,null
SMAR,2023-04-27 09:17:43.808,46.0656987,11.0969919,311.4,350.99,0.2,null
SMAR,2023-04-27 09:17:43.842,46.0656987,11.0969919,311.57,350.92,0.32,null
SMAR,2023-04-27 09:17:43.875,46.0656987,11.0969919,311.68,350.81,0.46,null
STON,2023-04-27 09:17:43.875,46.065726805666664,11.0969748775,-1.340131,278.241982,0.058079,1
SMAR,2023-04-27 09:17:43.912,46.0656987,11.0969919,311.86,350.67,0.54,null
SMAR,2023-04-27 09:17:43.942,46.0656987,11.0969919,312.04,350.6,0.56,null
SMAR,2023-04-27 09:17:43.973,46.0656987,11.0969919,312.29,350.54,0.59,null
SMAR,2023-04-27 09:17:44.005,46.0656987,11.0969919,312.67,350.37,0.69,null
SMAR,2023-04-27 09:17:44.04,46.0656987,11.0969919,312.89,350.15,0.84,null
SMAR,2023-04-27 09:17:44.074,46.0656987,11.0969919,312.95,350.01,0.9,null
