Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-02 16:51:05.561,2023-05-02 16:51:05.438,123
2023-05-02 16:51:06.527,2023-05-02 16:51:06.438,89
2023-05-02 16:51:07.501,2023-05-02 16:51:07.438,63
2023-05-02 16:51:08.53,2023-05-02 16:51:08.439,91
2023-05-02 16:51:09.54,2023-05-02 16:51:09.439,101
2023-05-02 16:51:10.532,2023-05-02 16:51:10.439,93
2023-05-02 16:51:11.532,2023-05-02 16:51:11.438,94
2023-05-02 16:51:12.577,2023-05-02 16:51:12.439,138
2023-05-02 16:51:13.581,2023-05-02 16:51:13.439,142
2023-05-02 16:51:14.544,2023-05-02 16:51:14.438,106
2023-05-02 16:51:15.586,2023-05-02 16:51:15.439,147
2023-05-02 16:51:16.556,2023-05-02 16:51:16.438,118
2023-05-02 16:51:17.583,2023-05-02 16:51:17.439,144
2023-05-02 16:51:18.565,2023-05-02 16:51:18.438,127
2023-05-02 16:51:19.59,2023-05-02 16:51:19.438,152
2023-05-02 16:51:20.599,2023-05-02 16:51:20.438,161
2023-05-02 16:51:21.582,2023-05-02 16:51:21.438,144
2023-05-02 16:51:22.532,2023-05-02 16:51:22.439,93
2023-05-02 16:51:23.535,2023-05-02 16:51:23.438,97
2023-05-02 16:51:24.538,2023-05-02 16:51:24.439,99
2023-05-02 16:51:25.539,2023-05-02 16:51:25.439,100
2023-05-02 16:51:26.549,2023-05-02 16:51:26.438,111
2023-05-02 16:51:27.527,2023-05-02 16:51:27.438,89
2023-05-02 16:51:28.52,2023-05-02 16:51:28.438,82
2023-05-02 16:51:29.532,2023-05-02 16:51:29.438,94
2023-05-02 16:51:30.523,2023-05-02 16:51:30.438,85
2023-05-02 16:51:31.5,2023-05-02 16:51:31.439,61
2023-05-02 16:51:32.527,2023-05-02 16:51:32.439,88
2023-05-02 16:51:33.531,2023-05-02 16:51:33.438,93
2023-05-02 16:51:34.533,2023-05-02 16:51:34.438,95
2023-05-02 16:51:35.539,2023-05-02 16:51:35.439,100
