Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-11 12:14:59.65,2023-04-11 12:14:59.544,106
2023-04-11 12:15:00.647,2023-04-11 12:15:00.544,103
2023-04-11 12:15:01.122,2023-04-11 12:15:01.044,78
2023-04-11 12:15:01.616,2023-04-11 12:15:01.544,72
2023-04-11 12:15:02.114,2023-04-11 12:15:02.044,70
2023-04-11 12:15:02.648,2023-04-11 12:15:02.568,80
2023-04-11 12:15:03.651,2023-04-11 12:15:03.544,107
2023-04-11 12:15:04.657,2023-04-11 12:15:04.544,113
2023-04-11 12:15:05.623,2023-04-11 12:15:05.544,79
2023-04-11 12:15:06.659,2023-04-11 12:15:06.544,115
2023-04-11 12:15:07.625,2023-04-11 12:15:07.544,81
2023-04-11 12:15:08.625,2023-04-11 12:15:08.544,81
2023-04-11 12:15:09.663,2023-04-11 12:15:09.544,119
2023-04-11 12:15:10.669,2023-04-11 12:15:10.544,125
2023-04-11 12:15:11.669,2023-04-11 12:15:11.544,125
2023-04-11 12:15:12.673,2023-04-11 12:15:12.544,129
2023-04-11 12:15:13.676,2023-04-11 12:15:13.544,132
2023-04-11 12:15:14.68,2023-04-11 12:15:14.544,136
2023-04-11 12:15:15.68,2023-04-11 12:15:15.544,136
2023-04-11 12:15:16.612,2023-04-11 12:15:16.544,68
2023-04-11 12:15:17.62,2023-04-11 12:15:17.544,76
2023-04-11 12:15:18.619,2023-04-11 12:15:18.544,75
2023-04-11 12:15:19.656,2023-04-11 12:15:19.544,112
2023-04-11 12:15:20.621,2023-04-11 12:15:20.544,77
2023-04-11 12:15:21.631,2023-04-11 12:15:21.544,87
2023-04-11 12:15:22.631,2023-04-11 12:15:22.544,87
2023-04-11 12:15:23.663,2023-04-11 12:15:23.544,119
2023-04-11 12:15:24.686,2023-04-11 12:15:24.544,142
2023-04-11 12:15:25.614,2023-04-11 12:15:25.544,70
2023-04-11 12:15:26.648,2023-04-11 12:15:26.544,104
2023-04-11 12:15:27.651,2023-04-11 12:15:27.544,107
2023-04-11 12:15:28.647,2023-04-11 12:15:28.544,103
2023-04-11 12:15:29.617,2023-04-11 12:15:29.544,73
2023-04-11 12:15:30.612,2023-04-11 12:15:30.544,68
2023-04-11 12:15:31.622,2023-04-11 12:15:31.544,78
2023-04-11 12:15:32.67,2023-04-11 12:15:32.544,126
2023-04-11 12:15:32.794,2023-04-11 12:15:32.646,148
2023-04-11 12:15:33.622,2023-04-11 12:15:33.544,78
2023-04-11 12:15:34.631,2023-04-11 12:15:34.544,87
2023-04-11 12:15:35.629,2023-04-11 12:15:35.544,85
2023-04-11 12:15:36.631,2023-04-11 12:15:36.544,87
2023-04-11 12:15:37.672,2023-04-11 12:15:37.544,128
2023-04-11 12:15:38.672,2023-04-11 12:15:38.544,128
2023-04-11 12:15:39.675,2023-04-11 12:15:39.544,131
2023-04-11 12:15:40.675,2023-04-11 12:15:40.545,130
2023-04-11 12:15:41.612,2023-04-11 12:15:41.544,68
2023-04-11 12:15:42.616,2023-04-11 12:15:42.544,72
2023-04-11 12:15:43.654,2023-04-11 12:15:43.544,110
2023-04-11 12:15:44.652,2023-04-11 12:15:44.544,108
2023-04-11 12:15:45.619,2023-04-11 12:15:45.544,75
2023-04-11 12:15:46.658,2023-04-11 12:15:46.544,114
2023-04-11 12:15:47.631,2023-04-11 12:15:47.544,87
2023-04-11 12:15:47.804,2023-04-11 12:15:47.678,126
2023-04-11 12:15:48.632,2023-04-11 12:15:48.544,88
2023-04-11 12:15:49.631,2023-04-11 12:15:49.544,87
2023-04-11 12:15:50.669,2023-04-11 12:15:50.544,125
2023-04-11 12:15:51.672,2023-04-11 12:15:51.544,128
2023-04-11 12:15:52.676,2023-04-11 12:15:52.544,132
2023-04-11 12:15:53.713,2023-04-11 12:15:53.544,169
2023-04-11 12:15:54.619,2023-04-11 12:15:54.544,75
2023-04-11 12:15:55.648,2023-04-11 12:15:55.544,104
2023-04-11 12:15:56.615,2023-04-11 12:15:56.544,71
2023-04-11 12:15:57.619,2023-04-11 12:15:57.544,75
2023-04-11 12:15:58.621,2023-04-11 12:15:58.544,77
2023-04-11 12:15:59.673,2023-04-11 12:15:59.544,129
2023-04-11 12:16:00.605,2023-04-11 12:16:00.544,61
2023-04-11 12:16:01.614,2023-04-11 12:16:01.544,70
2023-04-11 12:16:02.604,2023-04-11 12:16:02.544,60
2023-04-11 12:16:02.806,2023-04-11 12:16:02.715,91
2023-04-11 12:16:03.614,2023-04-11 12:16:03.544,70
2023-04-11 12:16:04.652,2023-04-11 12:16:04.544,108
2023-04-11 12:16:05.615,2023-04-11 12:16:05.544,71
2023-04-11 12:16:06.611,2023-04-11 12:16:06.544,67
2023-04-11 12:16:07.663,2023-04-11 12:16:07.544,119
2023-04-11 12:16:08.615,2023-04-11 12:16:08.545,70
2023-04-11 12:16:09.62,2023-04-11 12:16:09.544,76
2023-04-11 12:16:10.623,2023-04-11 12:16:10.544,79
2023-04-11 12:16:11.673,2023-04-11 12:16:11.544,129
2023-04-11 12:16:12.625,2023-04-11 12:16:12.544,81
2023-04-11 12:16:13.716,2023-04-11 12:16:13.544,172
2023-04-11 12:16:14.616,2023-04-11 12:16:14.544,72
2023-04-11 12:16:15.609,2023-04-11 12:16:15.544,65
