Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
STON,2023-04-04 12:36:16:757 GMT+02:00 2023,46.08980145333334,11.115510611666666,3.085776,115.177086,-0.666448,1
STON,2023-04-04 12:36:16:760 GMT+02:00 2023,46.08980145333334,11.115510611666666,3.085776,115.177086,-0.666448,1
SMAR,2023-04-04 12:36:16:787 GMT+02:00 2023,46.0898318,11.1157423,265.29,96.36,79.74,null
SMAR,2023-04-04 12:36:16:826 GMT+02:00 2023,46.0898318,11.1157423,267.7,94.89,79.79,null
SMAR,2023-04-04 12:36:16:853 GMT+02:00 2023,46.0898318,11.1157423,270.16,92.91,79.92,null
SMAR,2023-04-04 12:36:16:885 GMT+02:00 2023,46.0898318,11.1157423,272.5,91.03,79.87,null
SMAR,2023-04-04 12:36:16:916 GMT+02:00 2023,46.0898318,11.1157423,273.2,90.02,80.01,null
SMAR,2023-04-04 12:36:16:949 GMT+02:00 2023,46.0898318,11.1157423,274.08,87.96,80.26,null
SMAR,2023-04-04 12:36:16:989 GMT+02:00 2023,46.0898318,11.1157423,274.77,86.39,80.36,null
SMAR,2023-04-04 12:36:17:020 GMT+02:00 2023,46.0898318,11.1157423,275.37,85.23,80.74,null
SMAR,2023-04-04 12:36:17:053 GMT+02:00 2023,46.0898318,11.1157423,275.05,84.98,80.95,null
SMAR,2023-04-04 12:36:17:088 GMT+02:00 2023,46.0898318,11.1157423,274.1,85.28,81.21,null
SMAR,2023-04-04 12:36:17:120 GMT+02:00 2023,46.0898318,11.1157423,270.95,87.61,81.05,null
SMAR,2023-04-04 12:36:17:147 GMT+02:00 2023,46.0898311,11.1157409,268.55,89.57,81.03,null
SMAR,2023-04-04 12:36:17:183 GMT+02:00 2023,46.0898311,11.1157409,267.76,90.39,81.42,null
SMAR,2023-04-04 12:36:17:217 GMT+02:00 2023,46.0898311,11.1157409,267.33,90.72,81.74,null
STON,2023-04-04 12:36:17:228 GMT+02:00 2023,46.08980145333334,11.115510611666666,2.999993,115.872192,-0.820786,1
SMAR,2023-04-04 12:36:17:253 GMT+02:00 2023,46.0898311,11.1157409,268.61,89.22,81.76,null
STON,2023-04-04 12:36:17:264 GMT+02:00 2023,46.08980145333334,11.115510611666666,2.943631,115.677635,-0.835618,1
SMAR,2023-04-04 12:36:17:281 GMT+02:00 2023,46.0898311,11.1157409,272.16,85.77,82.3,null
STON,2023-04-04 12:36:17:291 GMT+02:00 2023,46.08980145333334,11.115510611666666,2.630592,115.898132,-0.9592,1
SMAR,2023-04-04 12:36:17:326 GMT+02:00 2023,46.0898311,11.1157409,275.03,82.99,82.54,null
SMAR,2023-04-04 12:36:17:358 GMT+02:00 2023,46.0898311,11.1157409,277.04,81.0,82.65,null
SMAR,2023-04-04 12:36:17:384 GMT+02:00 2023,46.0898311,11.1157409,278.47,79.3,82.66,null
SMAR,2023-04-04 12:36:17:420 GMT+02:00 2023,46.0898311,11.1157409,278.72,78.6,82.5,null
SMAR,2023-04-04 12:36:17:454 GMT+02:00 2023,46.0898311,11.1157409,276.42,80.5,82.27,null
SMAR,2023-04-04 12:36:17:482 GMT+02:00 2023,46.0898311,11.1157409,274.52,82.36,82.28,null
STON,2023-04-04 12:36:17:488 GMT+02:00 2023,46.08980145333334,11.115510611666666,2.553605,114.64444,-0.990982,1
SMAR,2023-04-04 12:36:17:517 GMT+02:00 2023,46.0898311,11.1157409,272.57,84.49,82.41,null
SMAR,2023-04-04 12:36:17:552 GMT+02:00 2023,46.0898311,11.1157409,270.46,86.63,82.5,null
SMAR,2023-04-04 12:36:17:585 GMT+02:00 2023,46.0898311,11.1157409,268.31,88.79,82.68,null
SMAR,2023-04-04 12:36:17:616 GMT+02:00 2023,46.0898311,11.1157409,265.99,90.9,82.89,null
SMAR,2023-04-04 12:36:17:650 GMT+02:00 2023,46.0898301,11.11574,263.78,92.4,83.18,null
SMAR,2023-04-04 12:36:17:689 GMT+02:00 2023,46.0898301,11.11574,262.35,93.42,83.5,null
SMAR,2023-04-04 12:36:17:727 GMT+02:00 2023,46.0898301,11.11574,261.85,93.71,83.66,null
STON,2023-04-04 12:36:17:732 GMT+02:00 2023,46.08980145333334,11.115510611666666,2.758289,113.420815,-0.931683,1
SMAR,2023-04-04 12:36:17:759 GMT+02:00 2023,46.0898301,11.11574,261.89,93.39,83.89,null
SMAR,2023-04-04 12:36:17:793 GMT+02:00 2023,46.0898301,11.11574,262.92,92.25,84.02,null
SMAR,2023-04-04 12:36:17:823 GMT+02:00 2023,46.0898301,11.11574,262.91,92.67,83.89,null
STON,2023-04-04 12:36:17:831 GMT+02:00 2023,46.08980147,11.115510728333334,2.758289,113.420815,-0.931683,1
SMAR,2023-04-04 12:36:17:853 GMT+02:00 2023,46.0898301,11.11574,263.14,92.91,83.99,null
STON,2023-04-04 12:36:17:863 GMT+02:00 2023,46.08980147,11.115510728333334,2.758289,113.420815,-0.931683,1
SMAR,2023-04-04 12:36:17:888 GMT+02:00 2023,46.0898301,11.11574,262.66,93.7,84.06,null
